Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
4,-0.8,72,0,4.8,1,37,SATURDAY,X
12,26.7,69,0,83.1,0,188,WEDNESDAY,D
17,23.7,81,0,296.8,23,241,SUNDAY,X
5,-1.9,68,0,127.5,23,355,TUESDAY,X
43,17.4,81,0,47.8,22,154,THURSDAY,D
5,24.3,71,0,241.6,2,232,FRIDAY,X
63,19.6,88,0.6,317,6,258,WEDNESDAY,X
58,0.9,62,0,32.4,8,326,MONDAY,X
59,23.5,90,0,124.9,21,189,THURSDAY,N
46,15.8,42,0,12.9,13,124,TUESDAY,X
130,22.3,82,0,20.8,7,147,THURSDAY,X
31,18.8,73,0,17.4,10,307,WEDNESDAY,X
2,22.8,76,0,194.5,3,208,TUESDAY,X
100,28,43,0,124.9,20,190,FRIDAY,X
172,20.4,91,0,328.4,16,267,FRIDAY,D
5,-0.3,82,0,11.6,0,100,SATURDAY,X
153,20.2,77,0,317,7,258,WEDNESDAY,X
16,5.3,95,3,57.7,7,84,THURSDAY,X
158,29,67,0,201.3,19,217,THURSDAY,X
26,13.3,53,0,14.7,16,50,FRIDAY,X
157,26.6,75,0,194.6,19,209,WEDNESDAY,N
26,3.9,68,0,127.5,19,356,WEDNESDAY,X
48,9.4,70,0,27.7,19,316,FRIDAY,X
0,-12,58,0,120.7,2,349,WEDNESDAY,X
